index,ordinate
1,14.134725141734695
2,21.022039638771556
3,25.010857580145689
4,30.424876125859512
5,32.935061587739192
6,37.586178158825675
7,40.918719012147498
8,43.327073280915002
9,48.005150881167161
10,49.7738324776723
11,52.970321477714457
12,56.446247697063392
13,59.347044002602352
14,60.83177852460981
15,65.112544048081617
16,67.079810529494168
17,69.546401711173985
18,72.067157674481905
19,75.704690699083926
20,77.144840068874799
21,79.337375020249368
22,82.910380854086029
23,84.735492980517051
24,87.425274613125225
25,88.809111207634473
26,92.491899270558491
27,94.651344040519888
28,95.870634228245308
29,98.831194218193687
30,101.31785100573138
31,103.72553804047834
32,105.44662305232609
33,107.1686111842764
34,111.02953554316967
35,111.87465917699264
36,114.32022091545271
37,116.22668032085755
38,118.79078286597621
39,121.37012500242065
40,122.9468292935526
41,124.25681855434577
42,127.5166838795965
43,129.57870419995604
44,131.08768853093267
45,133.49773720299757
46,134.75650975337388
47,138.11604205453344
48,139.73620895212139
49,141.12370740402113
50,143.11184580762063
